Row Number,Matched Rules,0,1,2
5,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3}",,
6,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3}",,
8,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
9,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 3.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 3.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
12,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3}",,
15,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
20,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 2.0) && (exclusion_of_no > 1.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 2.0) && (exclusion_of_no > 1.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}",,
21,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 2.0) && (exclusion_of_no > 1.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 2.0) && (exclusion_of_no > 1.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}",,
22,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
23,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
