Row Number,Matched Rules
2,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
5,['block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5  => 2']
6,['block_of_affere <= 1.5 && changes_in_lym > 2.5 && dislocation_of <= 1.5 && early_uptake_in > 1.5 && extravasates <= 1.5 && special_forms > 1.5  => 2']
7,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
8,['block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5  => 2']
11,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
12,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
13,['block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5  => 2']
16,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
17,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
18,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
19,['block_of_affere <= 1.5 && early_uptake_in > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2']
20,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
23,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar > 3.5 && no_of_nodes_in <= 3.5 && special_forms <= 2.5  => 2']
24,['block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5  => 2']
29,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
33,['block_of_affere <= 1.5 && changes_in_node <= 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && exclusion_of_no <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5  => 2']
34,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
35,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
36,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
43,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
44,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
47,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
48,['block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5  => 2']
49,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
50,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
51,['block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5  => 2']
53,['block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5  => 2']
54,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
55,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
58,['block_of_affere > 1.5 && by_pass > 1.5 && changes_in_lym > 2.5 && changes_in_node <= 3.5 && lym_nodes_dimin <= 1.5 && no_of_nodes_in > 3.5  => 2']
60,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
62,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
64,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
65,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
68,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
71,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
73,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
76,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
77,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
78,['block_of_affere <= 1.5 && changes_in_lym > 2.5 && dislocation_of <= 1.5 && early_uptake_in > 1.5 && extravasates <= 1.5 && special_forms > 1.5  => 2']
82,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar > 3.5 && no_of_nodes_in <= 3.5 && special_forms <= 2.5  => 2']
86,['block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5  => 2']
87,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
88,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
90,['block_of_affere <= 1.5 && early_uptake_in > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2']
92,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
93,"['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2', 'block_of_affere > 1.5 && changes_in_node > 3.5 && no_of_nodes_in <= 1.5  => 2']"
94,['block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5  => 2']
97,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
98,['block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5  => 2']
99,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
100,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
102,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
103,['block_of_affere <= 1.5 && changes_in_node > 1.5 && early_uptake_in > 1.5 && exclusion_of_no <= 1.5 && no_of_nodes_in > 1.5 && special_forms <= 1.5  => 2']
104,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
105,['block_of_affere <= 1.5 && changes_in_lym > 2.5 && dislocation_of > 1.5 && early_uptake_in > 1.5 && extravasates <= 1.5 && special_forms <= 2.5  => 2']
107,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
109,['block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5  => 2']
110,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
111,['block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5  => 2']
113,['block_of_affere <= 1.5 && changes_in_node <= 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && exclusion_of_no <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5  => 2']
118,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
121,['block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5  => 2']
122,['block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5  => 2']
123,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
124,['block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5  => 2']
125,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
127,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
128,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
130,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
131,['block_of_affere > 1.5 && by_pass <= 1.5 && changes_in_lym > 2.5 && changes_in_node <= 3.5 && dislocation_of <= 1.5 && lym_nodes_dimin <= 1.5 && no_of_nodes_in > 3.5  => 2']
134,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
135,"['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2', 'block_of_affere > 1.5 && changes_in_node > 3.5 && no_of_nodes_in <= 1.5  => 2']"
136,['block_of_affere > 1.5 && by_pass > 1.5 && changes_in_lym > 2.5 && changes_in_node <= 3.5 && lym_nodes_dimin <= 1.5 && no_of_nodes_in > 3.5  => 2']
139,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
141,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
143,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2']
145,['block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5  => 2']
147,['block_of_affere <= 1.5 && early_uptake_in > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2']
148,['block_of_affere > 1.5 && by_pass > 1.5 && changes_in_lym > 2.5 && changes_in_node <= 3.5 && lym_nodes_dimin <= 1.5 && no_of_nodes_in > 3.5  => 2']
