Row Number,Matched Rules,0,1
3,"({'Rule': '(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) => 3', 'Rule Length': 3},)","{'Rule': '(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) => 3', 'Rule Length': 3}",
5,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 2', 'Rule Length': 2},)","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 2', 'Rule Length': 2}",
6,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 3.5) => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 3.5) => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 2', 'Rule Length': 2}"
8,"({'Rule': '(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) && (changes_in_stru <= 2.0) => 2', 'Rule Length': 4},)","{'Rule': '(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) && (changes_in_stru <= 2.0) => 2', 'Rule Length': 4}",
12,"({'Rule': '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) => 2', 'Rule Length': 3}",
17,"({'Rule': '(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) && (changes_in_stru <= 2.0) => 2', 'Rule Length': 4},)","{'Rule': '(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) && (changes_in_stru <= 2.0) => 2', 'Rule Length': 4}",
18,"({'Rule': '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) => 2', 'Rule Length': 3}",
19,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 2', 'Rule Length': 2},)","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 2', 'Rule Length': 2}",
31,"({'Rule': '(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) => 3', 'Rule Length': 3},)","{'Rule': '(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) => 3', 'Rule Length': 3}",
33,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 2', 'Rule Length': 2},)","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 2', 'Rule Length': 2}",
37,"({'Rule': '(block_of_affere <= 1.5) && (lym_nodes_enlar <= 3.5) && (changes_in_node <= 2.5) && (no_of_nodes_in > 3.5) => 4', 'Rule Length': 4}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 4', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (lym_nodes_enlar <= 3.5) && (changes_in_node <= 2.5) && (no_of_nodes_in > 3.5) => 4', 'Rule Length': 4}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 4', 'Rule Length': 2}"
42,"({'Rule': '(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) => 3', 'Rule Length': 3},)","{'Rule': '(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) => 3', 'Rule Length': 3}",
43,"({'Rule': '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) => 2', 'Rule Length': 3}",
48,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 2', 'Rule Length': 2},)","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 2', 'Rule Length': 2}",
49,"({'Rule': '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) => 2', 'Rule Length': 3}",
51,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 2', 'Rule Length': 2},)","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 2', 'Rule Length': 2}",
52,"({'Rule': '(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) => 3', 'Rule Length': 3},)","{'Rule': '(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) => 3', 'Rule Length': 3}",
53,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 2', 'Rule Length': 2},)","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5) => 2', 'Rule Length': 2}",
54,"({'Rule': '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) => 2', 'Rule Length': 3}",
