Row Number,Matched Rules
3,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5)  => 3']
5,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
6,"['(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 3.5)  => 2', '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']"
8,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) && (changes_in_stru <= 2.0)  => 2']
12,['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2']
17,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) && (changes_in_stru <= 2.0)  => 2']
18,['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2']
19,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
31,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5)  => 3']
33,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
37,"['(block_of_affere <= 1.5) && (lym_nodes_enlar <= 3.5) && (changes_in_node <= 2.5) && (no_of_nodes_in > 3.5)  => 4', '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 4']"
42,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5)  => 3']
43,['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2']
48,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
49,['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2']
51,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
52,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5)  => 3']
53,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
54,['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2']
55,"['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2', '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) && (exclusion_of_no > 1.5) && (no_of_nodes_in <= 1.5)  => 2']"
58,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) && (changes_in_stru <= 2.0)  => 2']
59,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5)  => 3']
64,['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2']
65,"['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2', '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) && (exclusion_of_no > 1.5) && (no_of_nodes_in <= 1.5)  => 2']"
68,['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2']
73,['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2']
78,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
81,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5)  => 3']
82,['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2']
84,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5)  => 3']
86,"['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2', '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) && (exclusion_of_no > 1.5) && (no_of_nodes_in <= 1.5)  => 2']"
89,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5)  => 3']
90,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
91,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5)  => 3']
92,['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2']
93,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5) && (changes_in_stru <= 2.0)  => 2']
94,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
97,['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2']
100,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in <= 1.5) && (changes_in_lym <= 2.5) && (special_forms <= 1.5)  => 2']
103,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
104,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in <= 1.5) && (changes_in_lym <= 2.5) && (special_forms <= 1.5)  => 2']
105,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
108,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5)  => 3']
111,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
113,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
120,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5)  => 3']
121,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
122,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
123,['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2']
124,['(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2']
125,"['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2', '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) && (exclusion_of_no > 1.5) && (no_of_nodes_in <= 1.5)  => 2']"
132,['(block_of_affere > 1.5) && (extravasates > 1.5) && (early_uptake_in > 1.5)  => 3']
139,"['(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5)  => 2', '(block_of_affere > 1.5) && (early_uptake_in <= 1.5) && (special_forms > 1.5) && (exclusion_of_no > 1.5) && (no_of_nodes_in <= 1.5)  => 2']"
