Order,Length_1,Length_2,Length_3,Length_4,Length_5,Rule_1,Rule_2,Rule_3,Rule_4,Rule_5
1,2,4,4,4,4,(changes_in_node > 3.5) & (no_of_nodes_in > 1.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 3.5) & (no_of_nodes_in > 1.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 3.5) & (no_of_nodes_in > 1.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 3.5) & (changes_in_stru > 6.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 3.5) & (changes_in_stru > 6.5)
2,6,6,,,,(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),,,
3,5,5,,,,(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (changes_in_lym > 1.5) & (special_forms > 2.5),,,
4,2,5,5,7,4,(changes_in_node > 3.5) & (no_of_nodes_in > 1.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in > 4.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in > 4.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym > 2.5) & (no_of_nodes_in > 1.5) & (special_forms > 2.5) & (changes_in_stru <= 5.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (no_of_nodes_in > 4.5)
5,6,5,5,8,7,(changes_in_node <= 3.5) & (block_of_affere <= 1.5) & (special_forms <= 2.5) & (changes_in_node > 1.5) & (special_forms <= 1.5) & (dislocation_of > 1.5),(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru > 1.5) & (exclusion_of_no > 1.5),(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru > 1.5) & (changes_in_stru > 4.0),(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (changes_in_lym > 1.5) & (changes_in_node > 2.5) & (changes_in_stru > 3.5) & (no_of_nodes_in <= 1.5),(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (no_of_nodes_in <= 1.5) & (exclusion_of_no > 1.5) & (changes_in_stru <= 6.5)
6,9,8,8,8,6,(changes_in_node <= 3.5) & (block_of_affere <= 1.5) & (special_forms > 2.5) & (dislocation_of <= 1.5) & (changes_in_node > 2.5) & (changes_in_stru > 3.5) & (no_of_nodes_in > 1.5) & (changes_in_stru > 4.5) & (changes_in_stru > 5.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in <= 4.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 5.5) & (changes_in_stru <= 7.0),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in <= 4.5) & (defect_in_node <= 3.5) & (no_of_nodes_in > 3.5) & (changes_in_node <= 3.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym > 2.5) & (no_of_nodes_in > 1.5) & (special_forms > 2.5) & (changes_in_stru > 5.5) & (changes_in_node > 2.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (no_of_nodes_in <= 4.5) & (changes_in_stru <= 6.5) & (changes_in_stru > 5.5)
7,6,6,6,6,6,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5)
8,6,7,6,6,6,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node <= 2.5) & (dislocation_of <= 1.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 2.5) & (no_of_nodes_in <= 1.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node <= 2.5) & (no_of_nodes_in <= 1.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node <= 2.5) & (no_of_nodes_in <= 1.5),(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node <= 2.5) & (no_of_nodes_in <= 1.5)
9,7,5,5,5,5,(changes_in_node <= 3.5) & (block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (dislocation_of <= 1.5) & (special_forms > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (changes_in_lym > 1.5) & (special_forms > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms > 2.5),(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms > 2.5)
10,9,10,6,4,10,(changes_in_node <= 3.5) & (block_of_affere <= 1.5) & (special_forms > 2.5) & (dislocation_of <= 1.5) & (changes_in_node > 2.5) & (changes_in_stru > 3.5) & (no_of_nodes_in > 1.5) & (changes_in_stru > 4.5) & (changes_in_stru <= 5.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru > 3.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 1.5) & (defect_in_node <= 3.5) & (changes_in_stru > 4.5),(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_lym <= 2.5) & (special_forms > 2.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym <= 2.5),(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (no_of_nodes_in <= 4.5) & (changes_in_stru <= 6.5) & (changes_in_stru <= 5.5) & (special_forms > 2.5) & (exclusion_of_no <= 1.5) & (changes_in_stru > 4.0) & (no_of_nodes_in > 1.5)
