Row Number,Average Rule Length
2,"4,0"
5,"6,0"
6,"6,0"
7,"4,0"
8,"4,0"
11,"4,0"
12,"4,0"
13,"4,0"
16,"4,0"
17,"4,0"
18,"4,0"
19,"4,0"
20,"4,0"
23,"5,0"
24,"4,0"
29,"4,0"
33,"7,0"
34,"4,0"
35,"4,0"
36,"4,0"
43,"4,0"
44,"4,0"
47,"4,0"
48,"5,0"
49,"4,0"
50,"4,0"
51,"5,0"
53,"6,0"
54,"4,0"
55,"4,0"
58,"6,0"
60,"4,0"
62,"4,0"
64,"4,0"
65,"4,0"
68,"4,0"
71,"4,0"
73,"4,0"
76,"4,0"
77,"4,0"
78,"6,0"
82,"5,0"
86,"4,0"
87,"4,0"
88,"4,0"
90,"4,0"
92,"4,0"
93,"3,5"
94,"5,0"
97,"4,0"
98,"4,0"
99,"4,0"
100,"4,0"
102,"4,0"
103,"6,0"
104,"4,0"
105,"6,0"
107,"4,0"
109,"4,0"
110,"4,0"
111,"6,0"
113,"7,0"
118,"4,0"
121,"5,0"
122,"6,0"
123,"4,0"
124,"6,0"
125,"4,0"
127,"4,0"
128,"4,0"
130,"4,0"
131,"7,0"
134,"4,0"
135,"3,5"
136,"6,0"
139,"4,0"
141,"4,0"
143,"4,0"
145,"5,0"
147,"4,0"
148,"6,0"
