Order,Length_1
1,3
2,6
3,3
4,5
5,7
6,8
7,6
8,6
9,5
10,4
11,6
12,6
13,6
14,4
15,4
16,6
17,6
18,6
19,4
20,6
21,4
22,5
23,7
24,6
25,4
26,4
27,5
28,4
29,6
30,8
31,7
32,4
33,7
34,6
35,6
36,6
37,4
38,5
39,8
40,5
41,4
42,5
43,6
44,6
45,4
46,4
47,6
48,7
49,6
50,6
51,7
52,3
53,8
54,6
55,6
56,4
57,4
58,6
59,3
60,6
61,4
62,6
63,4
64,6
65,6
66,4
67,6
68,6
69,6
70,4
71,6
72,6
73,6
74,6
75,4
76,6
77,6
78,7
79,4
80,3
81,3
82,7
83,4
84,3
85,5
86,6
87,6
88,6
89,6
90,4
91,4
92,6
93,3
94,5
95,4
96,4
97,6
98,6
99,6
100,6
101,5
102,6
103,6
104,6
105,7
106,7
107,6
108,3
109,6
110,6
111,5
112,5
113,5
114,4
115,4
116,4
117,4
118,6
119,4
120,6
121,5
122,5
123,6
124,5
125,6
126,4
127,6
128,6
129,5
130,6
131,7
132,3
133,4
134,6
135,3
136,6
137,6
138,5
139,6
140,4
141,6
142,4
143,6
144,5
145,5
146,7
147,4
148,6
