Row Number,Matched Rules,Matched Rules
2,"block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
5,"block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 6},)",6
6,"block_of_affere <= 1.5 && changes_in_lym > 2.5 && dislocation_of <= 1.5 && early_uptake_in > 1.5 && extravasates <= 1.5 && special_forms > 1.5 => 2', 'Rule Length': 6},)",6
7,"block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
8,"block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
11,"block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
12,"block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
13,"block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
16,"block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
17,"block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
18,"block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
19,"block_of_affere <= 1.5 && early_uptake_in > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5 => 2', 'Rule Length': 4},)",4
20,"block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
23,"block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar > 3.5 && no_of_nodes_in <= 3.5 && special_forms <= 2.5 => 2', 'Rule Length': 5},)",5
24,"block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
29,"block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
33,"block_of_affere <= 1.5 && changes_in_node <= 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && exclusion_of_no <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 7},)",7
34,"block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
35,"block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
36,"block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)",4
