Rule,Class,Length
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (extravasates <= 1.5) & (lymphatics <= 1.5),3,4
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (extravasates <= 1.5) & (lymphatics > 1.5) & (Order <= 83.0) & (Order <= 61.0) & (special_forms <= 1.5),2,7
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (extravasates <= 1.5) & (lymphatics > 1.5) & (Order <= 83.0) & (Order <= 61.0) & (special_forms > 1.5) & (dislocation_of <= 1.5),2,8
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (extravasates <= 1.5) & (lymphatics > 1.5) & (Order <= 83.0) & (Order <= 61.0) & (special_forms > 1.5) & (dislocation_of > 1.5),4,8
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (extravasates <= 1.5) & (lymphatics > 1.5) & (Order <= 83.0) & (Order > 61.0),4,6
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (extravasates <= 1.5) & (lymphatics > 1.5) & (Order > 83.0),2,5
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (extravasates > 1.5) & (lym_nodes_enlar <= 1.5),1,4
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (extravasates > 1.5) & (lym_nodes_enlar > 1.5),4,4
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5),2,4
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (changes_in_stru <= 5.5) & (Order <= 120.0),2,6
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (changes_in_stru <= 5.5) & (Order > 120.0),3,6
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (changes_in_stru > 5.5),4,5
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym <= 2.5),4,4
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym > 2.5) & (extravasates <= 1.5) & (changes_in_node <= 3.5) & (Order <= 58.5) & (Order <= 22.5),2,8
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym > 2.5) & (extravasates <= 1.5) & (changes_in_node <= 3.5) & (Order <= 58.5) & (Order > 22.5),4,8
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym > 2.5) & (extravasates <= 1.5) & (changes_in_node <= 3.5) & (Order > 58.5),2,7
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym > 2.5) & (extravasates <= 1.5) & (changes_in_node > 3.5),4,6
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_lym > 2.5) & (extravasates > 1.5),4,5
(block_of_affere > 1.5) & (changes_in_node <= 3.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 1.5),4,4
(block_of_affere > 1.5) & (changes_in_node <= 3.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node <= 2.5) & (lym_nodes_enlar <= 2.5),2,6
(block_of_affere > 1.5) & (changes_in_node <= 3.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node <= 2.5) & (lym_nodes_enlar > 2.5),4,6
(block_of_affere > 1.5) & (changes_in_node <= 3.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (lym_nodes_enlar <= 3.5),2,6
(block_of_affere > 1.5) & (changes_in_node <= 3.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (lym_nodes_enlar > 3.5) & (changes_in_stru <= 5.5),2,7
(block_of_affere > 1.5) & (changes_in_node <= 3.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (lym_nodes_enlar > 3.5) & (changes_in_stru > 5.5),4,7
(block_of_affere > 1.5) & (changes_in_node <= 3.5) & (no_of_nodes_in > 3.5) & (lym_nodes_dimin <= 1.5) & (changes_in_lym <= 2.5),4,5
(block_of_affere > 1.5) & (changes_in_node <= 3.5) & (no_of_nodes_in > 3.5) & (lym_nodes_dimin <= 1.5) & (changes_in_lym > 2.5) & (by_pass <= 1.5) & (dislocation_of <= 1.5),2,7
(block_of_affere > 1.5) & (changes_in_node <= 3.5) & (no_of_nodes_in > 3.5) & (lym_nodes_dimin <= 1.5) & (changes_in_lym > 2.5) & (by_pass <= 1.5) & (dislocation_of > 1.5),4,7
(block_of_affere > 1.5) & (changes_in_node <= 3.5) & (no_of_nodes_in > 3.5) & (lym_nodes_dimin <= 1.5) & (changes_in_lym > 2.5) & (by_pass > 1.5),2,6
(block_of_affere > 1.5) & (changes_in_node <= 3.5) & (no_of_nodes_in > 3.5) & (lym_nodes_dimin > 1.5),1,4
(block_of_affere > 1.5) & (changes_in_node > 3.5) & (no_of_nodes_in <= 1.5),2,3
(block_of_affere > 1.5) & (changes_in_node > 3.5) & (no_of_nodes_in > 1.5),4,3
