Order,Length_1
1,2
4,2
5,6
6,9
7,6
8,6
9,7
10,9
11,7
12,6
13,6
14,2
15,5
16,6
17,7
19,6
21,4
22,2
24,6
25,7
26,4
27,4
28,3
29,6
30,8
31,8
32,4
33,6
34,6
35,6
36,6
37,6
38,4
39,4
40,6
41,6
42,6
43,6
45,6
49,6
50,6
51,6
52,2
53,7
54,6
55,6
56,4
57,4
58,5
59,2
61,2
62,6
63,2
64,6
65,6
66,2
67,2
68,7
69,6
70,4
71,6
72,7
73,7
74,2
75,7
76,8
77,6
78,7
79,5
80,2
81,2
82,6
83,4
84,2
85,4
86,7
87,6
88,6
89,7
91,4
93,3
94,6
95,2
96,4
97,6
98,6
99,6
100,6
102,6
103,6
104,7
105,7
106,6
107,6
108,2
109,6
110,6
111,7
112,4
113,7
114,8
115,3
116,10
117,3
119,7
120,7
121,9
122,10
124,8
126,4
127,6
129,2
130,6
131,7
132,2
133,4
135,3
136,5
137,5
139,6
140,7
141,6
142,2
143,6
144,6
145,6
146,6
147,6
148,5
