Row Number,Matched Rules,Unique Rule Count
2,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
3,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
4,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
8,['block_of_affere <= 1.5 && changes_in_stru > 1.5 && dislocation_of > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2'],1
9,['block_of_affere <= 1.5 && changes_in_node <= 3.5 && changes_in_stru > 3.5 && dislocation_of <= 1.5 && no_of_nodes_in > 3.0 && special_forms > 1.5  => 2'],1
10,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
11,['block_of_affere > 1.5 && changes_in_node <= 2.5 && no_of_nodes_in <= 1.5  => 2'],1
14,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5  => 2'],1
15,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
16,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
17,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
18,['block_of_affere > 1.5 && changes_in_node <= 2.5 && no_of_nodes_in <= 1.5  => 2'],1
20,['block_of_affere > 1.5 && changes_in_node <= 2.5 && dislocation_of > 1.5 && no_of_nodes_in > 1.5  => 4'],1
21,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
22,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5  => 2'],1
23,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5  => 2'],1
24,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
25,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
26,['block_of_affere <= 1.5 && changes_in_stru > 1.5 && dislocation_of > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2'],1
27,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
28,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
31,['block_of_affere > 1.5 && changes_in_node <= 2.5 && no_of_nodes_in <= 1.5  => 2'],1
36,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
41,['block_of_affere <= 1.5 && changes_in_stru > 1.5 && dislocation_of > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2'],1
42,['block_of_affere <= 1.5 && changes_in_stru > 1.5 && dislocation_of > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2'],1
43,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
44,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
45,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
53,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
54,['block_of_affere > 1.5 && changes_in_node <= 2.5 && dislocation_of > 1.5 && no_of_nodes_in > 1.5  => 4'],1
55,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
56,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
57,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
58,['block_of_affere <= 1.5 && changes_in_stru > 1.5 && dislocation_of > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2'],1
60,['block_of_affere <= 1.5 && changes_in_node <= 3.5 && changes_in_stru > 3.5 && dislocation_of <= 1.5 && no_of_nodes_in <= 1.5 && special_forms > 1.5  => 2'],1
61,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
