Row Number,Average Rule Length
2,"3,0"
5,"5,0"
6,"5,0"
7,"3,0"
8,"3,0"
11,"4,0"
12,"3,0"
13,"3,0"
16,"3,0"
17,"4,0"
18,"4,0"
19,"3,0"
20,"5,0"
21,"3,0"
24,"3,0"
25,"3,0"
26,"3,0"
31,"3,0"
35,"5,0"
36,"5,0"
37,"5,0"
38,"3,0"
39,"3,0"
40,"3,0"
41,"3,0"
42,"3,0"
49,"3,0"
50,"4,0"
52,"3,0"
53,"5,0"
54,"3,0"
55,"3,0"
56,"5,0"
59,"6,0"
60,"3,0"
61,"3,0"
62,"3,0"
65,"5,0"
68,"3,0"
70,"3,0"
71,"3,0"
72,"3,0"
73,"3,0"
76,"4,0"
79,"3,0"
81,"5,0"
84,"4,0"
85,"4,0"
86,"3,0"
87,"6,0"
90,"3,0"
94,"3,0"
95,"3,0"
98,"3,0"
99,"3,0"
100,"5,0"
104,"3,0"
105,"4,0"
106,"3,0"
107,"3,0"
108,"3,0"
109,"5,0"
110,"4,0"
111,"5,0"
113,"3,0"
115,"3,0"
116,"3,0"
117,"3,0"
118,"6,0"
126,"5,0"
127,"6,0"
128,"6,0"
130,"3,0"
132,"5,0"
135,"3,0"
136,"3,0"
137,"5,0"
140,"3,0"
142,"3,0"
145,"5,0"
147,"5,0"
148,"5,0"
