Row Number,Matched Rules,0,1
2,"{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5 => 2', 'Rule Length': 3}",block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5 => 2,
5,"{'Rule': 'block_of_affere <= 1.5 && changes_in_stru > 4.0 && no_of_nodes_in <= 1.5 && special_forms <= 1.5 => 2', 'Rule Length': 4}, {'Rule': 'block_of_affere <= 1.5 && changes_in_lym <= 2.5 && changes_in_node <= 3.5 && changes_in_stru <= 6.5 && no_of_nodes_in <= 2.5 && special_forms <= 2.5 => 2', 'Rule Length': 6}",block_of_affere <= 1.5 && changes_in_stru > 4.0 && no_of_nodes_in <= 1.5 && special_forms <= 1.5 => 2,block_of_affere <= 1.5 && changes_in_lym <= 2.5 && changes_in_node <= 3.5 && changes_in_stru <= 6.5 && no_of_nodes_in <= 2.5 && special_forms <= 2.5 => 2
6,"{'Rule': 'block_of_affere <= 1.5 && changes_in_lym > 2.5 && changes_in_stru > 5.5 && no_of_nodes_in > 3.5 && special_forms > 1.5 => 2', 'Rule Length': 5}",block_of_affere <= 1.5 && changes_in_lym > 2.5 && changes_in_stru > 5.5 && no_of_nodes_in > 3.5 && special_forms > 1.5 => 2,
7,"{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5 => 2', 'Rule Length': 3}",block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5 => 2,
8,"{'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && no_of_nodes_in <= 1.5 => 2', 'Rule Length': 3}",block_of_affere > 1.5 && changes_in_node <= 2.5 && no_of_nodes_in <= 1.5 => 2,
11,"{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5 => 2', 'Rule Length': 4}",block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5 => 2,
12,"{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5 => 2', 'Rule Length': 3}",block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5 => 2,
13,"{'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && no_of_nodes_in <= 1.5 => 2', 'Rule Length': 3}",block_of_affere > 1.5 && changes_in_node <= 2.5 && no_of_nodes_in <= 1.5 => 2,
15,"{'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && changes_in_stru > 4.5 && no_of_nodes_in > 1.5 => 4', 'Rule Length': 4}",block_of_affere > 1.5 && changes_in_node <= 2.5 && changes_in_stru > 4.5 && no_of_nodes_in > 1.5 => 4,
16,"{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5 => 2', 'Rule Length': 3}",block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5 => 2,
