Row Number,Average Rule Length
2,"2,0"
3,"2,0"
7,"3,0"
8,"4,0"
9,"2,0"
10,"2,0"
11,"2,0"
14,"2,5"
15,"2,0"
16,"2,0"
19,"2,0"
20,"2,5"
21,"2,5"
22,"2,0"
23,"2,5"
24,"2,0"
27,"2,0"
32,"2,0"
36,"3,5"
37,"3,5"
38,"2,0"
39,"2,0"
40,"2,0"
41,"2,0"
42,"3,5"
50,"2,0"
51,"2,5"
53,"2,0"
54,"2,0"
55,"2,0"
56,"2,0"
57,"3,0"
60,"3,0"
61,"2,0"
62,"2,0"
64,"3,0"
67,"2,0"
69,"2,0"
70,"2,0"
71,"2,0"
72,"2,0"
75,"2,5"
78,"2,0"
80,"3,0"
83,"2,5"
84,"2,0"
85,"3,0"
88,"2,0"
92,"2,0"
93,"2,0"
94,"2,0"
96,"2,5"
98,"2,0"
99,"2,0"
100,"4,0"
103,"2,0"
104,"2,5"
105,"2,0"
106,"2,0"
108,"2,0"
109,"3,5"
110,"2,5"
111,"3,0"
113,"2,0"
114,"2,0"
115,"2,0"
116,"3,0"
118,"3,5"
123,"2,0"
126,"4,0"
127,"3,0"
128,"2,5"
129,"3,0"
131,"2,0"
132,"2,0"
134,"2,0"
135,"3,0"
138,"2,0"
139,"3,0"
141,"2,0"
142,"3,5"
145,"3,0"
147,"2,5"
148,"3,0"
