Order,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-left-square-x,top-left-square-o,top-left-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,middle-left-square-x,middle-left-square-o,middle-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-right-square-x,top-right-square-o,top-right-square-b,Rule_Length,Rule
750,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
751,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
752,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
753,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
754,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
763,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
764,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
765,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
766,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
767,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
783,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
784,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
793,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
794,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
795,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
798,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
799,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
800,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
809,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
810,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
850,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
857,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
858,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
859,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
860,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
861,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
863,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
864,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
871,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
875,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
876,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
877,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
878,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-o > 0.5)
