Order,Length_1
1,6
2,12
3,6
4,6
5,6
6,6
7,6
8,9
9,6
10,6
11,9
12,6
13,6
14,8
15,6
16,6
17,6
18,6
19,6
20,8
21,6
22,8
23,8
24,6
25,6
26,6
27,8
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,8
37,8
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,8
47,6
48,6
49,6
50,6
51,4
52,8
53,6
54,4
55,8
56,9
57,4
58,6
59,4
60,4
61,7
62,4
63,4
64,6
65,8
66,4
67,4
68,4
69,6
70,6
71,8
72,4
73,4
74,4
75,6
76,4
77,8
78,6
79,8
80,7
81,8
82,9
83,8
84,7
85,8
86,7
87,9
88,7
89,8
90,11
91,11
92,12
93,8
94,11
95,6
96,8
97,10
98,7
99,8
100,10
101,10
102,10
103,6
104,6
105,6
106,9
107,8
108,6
109,9
110,5
111,8
112,5
113,4
114,6
115,13
116,7
117,8
118,6
119,10
120,6
121,6
122,8
123,9
124,9
125,10
126,10
127,12
128,12
129,14
130,6
131,7
132,9
133,11
134,7
135,7
136,9
137,9
138,6
139,5
140,10
141,6
142,6
143,5
144,6
145,7
146,12
147,12
148,12
149,6
150,7
151,6
152,6
153,7
154,6
155,6
156,7
157,11
158,6
159,8
160,7
161,6
162,6
163,6
164,6
165,7
166,6
167,6
168,8
169,6
170,6
171,9
172,9
173,7
174,6
175,6
176,6
177,7
178,6
179,11
180,10
181,6
182,6
183,6
184,8
185,6
186,6
187,6
188,16
189,5
190,7
191,10
192,6
193,8
194,13
195,6
196,15
197,7
198,12
199,8
200,7
201,7
202,7
203,7
204,10
205,8
206,13
207,6
208,7
209,9
210,11
211,13
212,13
213,11
214,7
215,8
216,8
217,6
218,11
219,5
220,5
221,5
222,12
223,5
224,9
225,6
226,6
227,6
228,9
229,6
230,9
231,8
232,6
233,8
234,9
235,8
236,8
237,6
238,4
239,4
240,6
241,10
242,7
243,6
244,12
245,6
246,7
247,10
248,6
249,7
250,6
251,6
252,8
253,6
254,6
255,7
256,6
257,6
258,6
259,7
260,11
261,7
262,6
263,6
264,6
265,9
266,6
267,6
268,6
269,10
270,6
271,8
272,6
273,13
274,6
275,6
276,6
277,8
278,7
279,8
280,11
281,7
282,9
283,6
284,9
285,6
286,6
287,8
288,11
289,12
290,13
291,9
292,8
293,4
294,4
295,4
296,8
297,8
298,10
299,7
300,12
301,12
302,12
303,11
304,7
305,10
306,8
307,7
308,7
309,7
310,4
311,11
312,4
313,11
314,11
315,12
316,4
317,4
318,4
319,9
320,7
321,9
322,12
323,7
324,10
325,9
326,7
327,10
328,10
329,7
330,7
331,8
332,7
333,7
334,7
335,8
336,7
337,11
338,11
339,7
340,7
341,11
342,9
343,7
344,7
345,7
346,9
347,7
348,12
349,9
350,12
351,6
352,7
353,9
354,9
355,10
356,7
357,7
358,9
359,8
360,12
361,4
362,4
363,4
364,13
365,4
366,9
367,9
368,10
369,7
370,10
371,8
372,9
373,10
374,8
375,13
376,9
377,11
378,7
379,8
380,7
381,10
382,9
383,11
384,7
385,7
386,8
387,9
388,7
389,8
390,7
391,12
392,8
393,7
394,11
395,5
396,7
397,5
398,5
399,11
400,7
401,5
402,5
403,5
404,5
405,7
406,5
407,5
408,5
409,14
410,10
411,11
412,7
413,12
414,10
415,7
416,8
417,8
418,8
419,8
420,5
421,5
422,5
423,8
424,11
425,11
426,9
427,10
428,7
429,7
430,8
431,8
432,9
433,8
434,8
435,9
436,10
437,9
438,10
439,10
440,10
441,11
442,8
443,10
444,10
445,8
446,10
447,4
448,11
449,4
450,4
451,4
452,13
453,4
454,4
455,4
456,4
457,4
458,4
459,6
460,9
461,11
462,12
463,11
464,9
465,8
466,7
467,7
468,7
469,8
470,7
471,8
472,7
473,8
474,9
475,8
476,7
477,8
478,12
479,8
480,8
481,8
482,8
483,4
484,4
485,10
486,6
487,10
488,6
489,6
490,8
491,8
492,7
493,8
494,6
495,8
496,4
497,7
498,8
499,7
500,11
501,10
502,12
503,6
504,7
505,7
506,7
507,10
508,7
509,7
510,7
511,11
512,9
513,7
514,12
515,8
516,7
517,5
518,5
519,10
520,9
521,12
522,8
523,6
524,4
525,7
526,5
527,12
528,8
529,12
530,11
531,6
532,6
533,7
534,12
535,11
536,8
537,7
538,9
539,11
540,9
541,9
542,11
543,7
544,7
545,11
546,8
547,11
548,11
549,7
550,8
551,11
552,6
553,7
554,12
555,5
556,12
557,6
558,5
559,5
560,5
561,5
562,10
563,6
564,7
565,11
566,12
567,8
568,9
569,7
570,6
571,6
572,6
573,7
574,6
575,8
576,6
577,7
578,5
579,12
580,7
581,15
582,7
583,8
584,8
585,8
586,8
587,5
588,5
589,6
590,8
591,8
592,8
593,9
594,10
595,12
596,9
597,6
598,10
599,11
600,9
601,9
602,8
603,4
604,6
605,6
606,4
607,4
608,4
609,7
610,9
611,9
612,13
613,6
614,7
615,6
616,6
617,7
618,6
619,6
620,6
621,8
622,5
623,7
624,8
625,8
626,4
627,10
628,6
629,3
630,7
631,10
632,11
633,12
634,7
635,10
636,9
637,9
638,3
639,12
640,6
641,6
642,11
643,10
644,10
645,10
646,12
647,11
648,7
649,3
650,6
651,6
652,11
653,9
654,11
655,7
656,11
657,12
658,13
659,6
660,7
661,3
662,3
663,3
664,3
665,7
666,10
667,8
668,9
669,8
670,8
671,3
672,3
673,3
674,14
675,10
676,12
677,14
678,12
679,3
680,12
681,12
682,12
683,13
684,14
685,3
686,10
687,11
688,12
689,11
690,11
