Order,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-right-square-x,top-right-square-o,top-right-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,top-left-square-x,top-left-square-o,top-left-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,Rule_Length,Rule,Class
645,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5),positive
786,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5),positive
906,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5),positive
653,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5),positive
643,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5),positive
668,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5),positive
778,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5),positive
781,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5),positive
509,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5),positive
365,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5),positive
344,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5),positive
646,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5),positive
