Order,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-right-square-x,top-right-square-o,top-right-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,top-left-square-x,top-left-square-o,top-left-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,Rule_Length,Rule
287,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
19,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
51,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
106,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
135,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
524,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
552,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
522,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
131,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
236,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
196,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
35,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
48,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
72,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
107,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
601,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
139,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
230,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
47,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
561,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
213,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
