Row Number,Average Rule Length
1,5
2,7
3,7
4,7
5,7
6,7
7,7
8,7
9,7
10,5
11,7
12,3
13,3
14,8
15,5
16,5
17,3
18,3
19,5
20,8
21,3
22,7
23,7
24,7
25,7
26,7
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,7
35,5
36,8
37,3
38,3
39,3
40,5
41,5
42,3
43,3
44,3
45,3
46,8
47,5
48,5
49,3
50,3
51,5
52,7
53,3
54,7
55,7
56,7
57,7
58,7
59,6
60,6
61,6
62,6
63,6
64,7
65,7
66,7
67,7
68,7
69,7
70,3
71,7
72,5
73,5
74,3
75,3
76,5
77,7
78,3
79,4
80,5
81,11
82,5
83,5
84,5
85,4
86,12
87,10
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,7
96,4
97,4
98,4
99,4
100,10
101,4
102,5
103,5
104,5
105,3
106,5
107,5
108,3
109,3
110,8
111,5
112,7
113,5
114,3
115,5
116,5
117,5
118,5
119,3
120,3
121,3
122,3
123,5
124,3
125,3
126,3
127,5
128,3
129,3
130,3
131,5
132,3
133,8
134,8
135,5
136,3
137,3
138,3
139,5
140,3
141,3
142,5
143,8
144,5
145,11
146,11
147,4
148,4
149,4
150,6
151,4
152,4
153,4
154,4
155,4
156,6
157,4
158,4
159,5
160,5
161,4
162,5
163,10
164,4
165,6
166,4
167,4
168,11
169,4
170,4
171,4
172,4
173,4
174,4
175,4
176,4
177,4
178,4
179,4
180,4
181,4
182,4
183,4
184,4
185,4
186,4
187,4
188,5
189,8
190,3
191,3
192,3
193,5
194,3
195,3
196,5
197,5
198,5
199,10
200,5
201,5
202,3
203,3
204,3
205,3
206,3
207,3
208,5
209,3
210,3
211,3
212,3
213,5
214,3
215,4
216,3
217,5
218,3
219,5
220,3
221,5
222,3
223,4
224,5
225,5
226,5
227,3
228,3
229,3
230,5
231,3
232,3
233,5
234,7
235,7
236,5
237,3
238,5
239,7
240,4
241,6
242,7
243,4
244,4
245,4
246,8
247,4
248,5
249,5
250,5
251,7
252,5
253,6
254,5
255,8
256,4
257,4
258,4
259,6
260,4
261,4
262,4
263,4
264,4
265,4
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,4
276,3
277,5
278,5
279,5
280,7
281,5
282,5
283,5
284,3
285,3
286,3
287,5
288,3
289,5
290,3
291,5
292,3
293,5
294,3
295,5
296,3
297,7
298,7
299,3
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,11
308,8
309,3
310,3
311,3
312,8
313,3
314,3
315,7
316,8
317,8
318,7
319,12
320,10
321,8
322,7
323,8
324,6
325,7
326,7
327,7
328,7
329,4
330,10
331,8
332,8
333,8
334,8
335,4
336,8
337,7
338,7
339,7
340,7
341,10
342,7
343,7
344,4
345,7
346,7
347,7
348,3
349,8
350,3
351,7
352,3
353,3
354,3
355,3
356,3
357,4
358,3
359,7
360,3
361,9
362,3
363,7
364,3
365,4
366,3
367,8
368,7
369,7
370,3
371,3
372,3
373,3
374,3
375,3
376,3
377,8
378,8
379,4
380,7
381,3
382,3
383,3
384,3
385,3
386,3
387,3
388,3
389,4
390,3
391,3
392,3
393,3
394,3
395,7
396,3
397,3
398,3
399,3
400,3
401,3
402,11
403,8
404,4
405,3
406,7
407,3
408,3
409,3
410,3
411,7
412,7
413,3
414,3
415,3
416,4
417,3
418,3
419,3
420,3
421,4
422,3
423,7
424,7
425,3
426,3
427,3
428,3
429,7
430,7
431,7
432,3
433,3
434,3
435,3
436,3
437,3
438,3
439,3
440,6
441,8
442,4
443,3
444,3
445,3
446,3
447,7
448,3
449,3
450,3
451,3
452,3
453,6
454,8
455,8
456,4
457,7
458,3
459,8
460,6
461,7
462,7
463,7
464,8
465,7
466,4
467,7
468,8
469,8
470,7
471,4
472,7
473,3
474,7
475,7
476,7
477,3
478,3
479,4
480,3
481,4
482,3
483,4
484,3
485,3
486,3
487,5
488,3
489,3
490,8
491,7
492,7
493,5
494,3
495,7
496,7
497,4
498,5
499,5
500,4
501,5
502,4
503,5
504,4
505,4
506,5
507,4
508,4
509,4
510,4
511,5
512,4
513,4
514,4
515,5
516,4
517,7
518,8
519,3
520,5
521,3
522,5
523,3
524,5
525,3
526,7
527,5
528,8
529,3
530,3
531,3
532,3
533,8
534,5
535,3
536,3
537,5
538,3
539,3
540,3
541,3
542,3
543,3
544,8
545,8
546,4
547,3
548,5
549,3
550,3
551,3
552,5
553,3
554,3
555,3
556,3
557,3
558,8
559,8
560,4
561,5
562,3
563,4
564,5
565,4
566,4
567,5
568,4
569,4
570,4
571,4
572,4
573,4
574,4
575,4
576,4
577,3
578,8
579,5
580,5
581,3
582,3
583,4
584,3
585,4
586,3
587,4
588,3
589,3
590,7
591,3
592,5
593,3
594,3
595,3
596,3
597,3
598,6
599,7
600,7
601,5
602,3
603,3
604,3
605,3
606,7
607,7
608,5
609,5
610,5
611,4
612,4
613,4
614,5
615,4
616,4
617,4
618,4
619,4
620,4
621,5
622,7
623,3
624,4
625,3
626,4
627,4
628,4
629,11
630,3
631,3
632,3
633,3
634,3
635,3
636,3
637,3
638,11
639,4
640,4
641,4
642,3
643,3
644,7
645,7
646,3
647,3
648,4
649,11
650,4
651,4
652,3
653,3
654,3
655,7
656,3
657,3
658,3
659,4
660,4
661,5
662,3
663,5
664,5
665,7
666,8
667,7
668,3
669,3
670,3
671,5
672,5
673,5
674,7
675,7
676,7
677,7
