Order,top-left-square-x,top-left-square-o,top-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,class,Rule_Length,Rule
322,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
325,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
326,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
327,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
337,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
339,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
340,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
342,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
343,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
345,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
461,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
462,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
465,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
467,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
470,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
472,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,positive,7,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o <= 0) & (middle-left-square-o <= 0) & (bottom-middle-square-o <= 0)
