Order,middle-left-square-x,middle-left-square-o,middle-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-left-square-x,top-left-square-o,top-left-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,Rule_Length,Rule
744,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,5,(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x > 0.5)
746,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,5,(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x > 0.5)
776,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,5,(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x > 0.5)
787,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,5,(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x > 0.5)
791,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,5,(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x > 0.5)
804,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,5,(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x > 0.5)
805,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,5,(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x > 0.5)
808,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,5,(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x > 0.5)
822,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,5,(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x > 0.5)
849,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,5,(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x > 0.5)
851,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,5,(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x > 0.5)
855,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,5,(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x > 0.5)
872,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,5,(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x > 0.5)
