Order,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-left-square-x,top-left-square-o,top-left-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,middle-left-square-x,middle-left-square-o,middle-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-right-square-x,top-right-square-o,top-right-square-b,Rule_Length,Rule
1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
2,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
3,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
4,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
5,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
6,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
7,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
8,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
9,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
22,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
23,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
24,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
25,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
26,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
27,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
28,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
29,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
30,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
31,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
32,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
33,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
34,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
54,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
55,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
56,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
57,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
58,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
59,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
60,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5)
