Order,Length_1,Length_2
1,4,4.0
2,8,4.0
3,10,4.0
4,10,4.0
5,10,4.0
6,10,4.0
7,8,4.0
8,8,4.0
9,8,4.0
10,10,
11,6,
12,3,
13,3,
14,6,
15,8,
16,6,
17,3,
18,3,
19,8,
20,6,
21,3,
22,10,4.0
23,7,4.0
24,10,4.0
25,10,4.0
26,10,4.0
27,10,4.0
28,7,4.0
29,6,4.0
30,7,4.0
31,8,4.0
32,7,4.0
33,8,4.0
34,8,4.0
35,9,
36,6,
37,3,
38,3,
39,3,
40,6,
41,6,
42,3,
43,3,
44,3,
45,3,
46,6,
47,8,
48,6,
49,3,
50,3,
51,9,
52,6,
53,3,
54,7,4.0
55,7,4.0
56,7,4.0
57,10,4.0
58,10,4.0
59,8,4.0
60,7,4.0
61,8,4.0
62,7,4.0
63,7,4.0
64,7,4.0
65,7,4.0
66,7,4.0
67,7,4.0
68,7,4.0
69,7,4.0
70,3,
71,6,
72,9,
73,6,
74,3,
75,3,
76,11,
77,6,
78,3,
79,11,
80,4,
81,4,
82,4,
83,4,
84,4,
85,9,
86,9,
87,6,
88,10,
89,9,
90,7,
91,7,
92,7,
93,6,
94,6,
95,6,
96,9,
97,9,
98,9,
99,12,
100,6,
101,10,
102,4,
103,4,
104,4,
105,3,
106,6,
107,6,
108,3,
109,3,
110,6,
111,8,
112,6,
113,9,
114,3,
115,10,
116,4,
117,4,7.0
118,4,6.0
119,3,
120,3,
121,3,
122,3,
123,11,
124,3,
125,3,
126,3,
127,11,
128,3,
129,3,
130,3,
131,7,
132,3,
133,7,
134,6,6.0
135,7,
136,3,
137,3,
138,3,
139,7,
140,3,
141,3,
142,12,
143,6,6.0
144,10,
145,6,
146,6,
147,6,
148,6,
149,6,
150,6,
151,6,
152,6,
153,9,
154,6,
155,6,
156,6,
157,6,
158,6,
159,4,
160,4,
161,4,
162,4,
163,4,
164,6,
165,6,
166,7,
167,6,
168,6,
169,6,
170,6,
171,8,
172,10,
173,8,
174,11,
175,7,
176,7,
177,10,
178,7,
179,6,
180,6,
181,6,
182,9,
183,6,
184,6,
185,6,
186,6,
187,7,
188,8,
189,7,
190,3,
191,3,
192,3,
193,7,
194,3,
195,3,
196,8,
197,4,
198,4,
199,4,
200,4,
201,4,
202,3,
203,3,
204,3,
205,3,
206,3,
207,3,
208,7,
209,3,
210,3,
211,3,
212,3,
213,8,
214,3,
215,6,
216,3,
217,8,
218,3,
219,8,
220,3,
221,7,
222,3,
223,11,
224,4,
225,4,7.0
226,4,
227,3,
228,3,
229,3,
230,6,
231,3,
232,3,
233,8,
234,10,6.0
235,10,
236,9,
237,3,
238,9,
239,7,
240,6,
241,6,
242,6,
243,8,
244,12,
245,8,
246,6,
247,6,
248,4,
249,4,
250,4,
251,4,
252,4,
253,4,
254,4,
255,6,
256,8,
257,11,
258,6,
259,6,
260,8,
261,8,
262,11,
263,7,
264,7,
265,7,
266,7,
267,6,
268,12,
269,6,
270,8,
271,9,
272,14,
273,6,
274,6,
275,8,
276,3,
277,12,
278,4,
279,4,
280,4,
281,4,
282,4,
283,4,
284,3,
285,3,
286,3,
287,11,
288,3,
289,6,
290,3,
291,6,
292,3,
293,6,
294,3,
295,13,
296,3,
297,8,
298,10,
299,3,
300,3,
301,3,
302,3,
303,3,
304,3,
305,3,
306,3,
307,9,
308,9,
309,3,
310,3,
311,3,
312,8,
313,3,
314,3,
315,7,
316,10,
317,8,
318,10,
319,8,
320,8,
321,8,
322,8,
323,5,
324,5,
325,10,
326,5,
327,6,
328,5,
329,9,
330,9,
331,5,
332,9,
333,6,
334,5,
335,9,
336,6,
337,8,
338,5,
339,9,
340,5,
341,6,
342,6,
343,5,
344,8,
345,9,
346,8,
347,7,
348,3,
349,8,
350,3,
351,7,
352,3,
353,3,
354,3,
355,3,
356,3,
357,12,
358,3,
359,7,
360,3,
361,8,
362,3,
363,7,
364,3,
365,11,
366,3,
367,7,
368,7,
369,7,
370,3,
371,3,
372,3,
373,3,
374,3,
375,3,
376,3,
377,9,
378,6,
379,11,
380,7,
381,3,
382,3,
383,3,
384,3,
385,3,
386,3,
387,3,
388,3,
389,11,
390,3,
391,3,
392,3,
393,3,
394,3,
395,7,
396,3,
397,3,
398,3,
399,3,
400,3,
401,3,
402,10,
403,8,
404,9,
405,3,
406,7,
407,3,
408,3,
409,3,
410,3,
411,7,
412,7,
413,3,
414,3,
415,3,
416,10,
417,3,
418,3,
419,3,
420,3,
421,11,
422,3,
423,7,
424,7,
425,3,
426,3,
427,3,
428,3,
429,10,
430,9,
431,7,
432,3,
433,3,
434,3,
435,3,
436,3,
437,3,
438,3,
439,3,
440,8,
441,9,
442,10,
443,3,
444,3,
445,3,
446,3,
447,7,
448,3,
449,3,
450,3,
451,3,
452,3,
453,11,
454,10,
455,11,
456,12,
457,7,
458,3,
459,8,
460,8,
461,8,
462,8,
463,5,
464,5,
465,5,
466,11,
467,12,
468,6,
469,9,
470,9,
471,10,
472,6,
473,3,
474,7,
475,7,
476,7,
477,3,
478,3,
