Order,Length_1
1,6
2,7
3,11
4,8
5,8
6,6
7,13
8,6
9,6
10,3
11,8
12,5
13,5
14,10
15,3
16,3
17,3
18,5
19,3
20,8
21,5
22,9
23,8
24,4
25,9
26,12
27,9
28,8
29,6
30,8
31,8
32,8
33,11
34,8
35,3
36,8
37,5
38,3
39,5
40,3
41,3
42,5
43,3
44,3
45,5
46,10
47,3
48,3
49,3
50,5
51,3
52,8
53,5
54,11
55,9
56,10
57,8
58,6
59,7
60,6
61,7
62,8
63,8
64,6
65,7
66,9
67,12
68,11
69,6
70,5
71,10
72,3
73,3
74,3
75,5
76,3
77,8
78,5
79,3
80,7
81,7
82,8
83,12
84,6
85,3
86,8
87,8
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,8
96,3
97,3
98,3
99,3
100,7
101,3
102,8
103,6
104,6
105,5
106,3
107,3
108,5
109,3
110,10
111,3
112,10
113,3
114,5
115,3
116,7
117,8
118,6
119,3
120,5
121,5
122,5
123,3
124,5
125,3
126,3
127,3
128,3
129,3
130,5
131,3
132,3
133,4
134,4
135,3
136,3
137,3
138,5
139,3
140,3
141,5
142,3
143,4
144,3
145,8
146,7
147,3
148,3
149,3
150,7
151,3
152,3
153,3
154,3
155,3
156,7
157,3
158,3
159,7
160,7
161,5
162,7
163,7
164,3
165,7
166,3
167,3
168,7
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,5
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,5
187,3
188,3
189,8
190,5
191,3
192,5
193,3
194,3
195,5
196,3
197,7
198,7
199,7
200,7
201,9
202,5
203,5
204,3
205,3
206,3
207,5
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,5
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,5
224,8
225,6
226,6
227,5
228,3
229,5
230,3
231,3
232,5
233,3
234,4
235,4
236,3
237,5
238,3
239,4
240,3
241,7
242,8
243,3
244,3
245,3
246,8
247,3
248,7
249,7
250,7
251,7
252,7
253,7
254,12
255,8
256,3
257,3
258,3
259,7
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,5
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,5
276,5
277,3
278,7
279,7
280,7
281,8
282,9
283,6
284,3
285,5
286,5
287,3
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,3
296,4
297,12
298,4
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,4
307,4
308,4
309,4
310,4
311,4
312,6
313,4
314,4
315,10
316,4
317,4
318,9
319,10
320,11
321,11
322,6
323,10
324,7
325,13
326,13
327,6
328,9
329,5
330,10
331,12
332,7
333,7
334,7
335,5
336,7
337,6
338,9
339,10
340,12
341,12
342,10
343,14
344,5
345,10
346,5
347,5
348,4
349,5
350,4
351,5
352,4
353,4
354,4
355,4
356,4
357,5
358,4
359,5
360,4
361,5
362,4
363,5
364,4
365,5
366,4
367,11
368,11
369,6
370,4
371,4
372,4
373,4
374,4
375,4
376,4
377,4
378,4
379,11
380,7
381,4
382,4
383,4
384,4
385,4
386,4
387,4
388,4
389,4
390,4
391,4
392,4
393,4
394,4
395,7
396,4
397,4
398,4
399,4
400,4
401,4
402,4
403,4
404,6
405,4
406,9
407,4
408,4
409,4
410,4
411,5
412,5
413,4
414,4
415,4
416,5
417,4
418,4
419,4
420,4
421,5
422,4
423,6
424,7
425,4
426,4
427,4
428,4
429,4
430,4
431,12
432,4
433,4
434,4
435,4
436,4
437,4
438,4
439,4
440,4
441,4
442,10
443,4
444,4
445,4
446,4
447,12
448,4
449,4
450,4
451,4
452,4
453,4
454,4
455,4
456,6
457,7
458,4
459,10
460,7
461,6
462,7
463,9
464,10
465,8
466,5
467,10
468,7
469,9
470,10
471,5
472,10
473,4
474,5
475,5
