Row Number,Matched Rules,0
1,"{'Rule': 'middle-middle-square-o > 0.5 && top-left-square-x > 0.5 && top-middle-square-x > 0.5 && top-right-square-x > 0.5 => negative', 'Rule Length': 4}",
2,"{'Rule': 'middle-middle-square-o > 0.5 && top-left-square-x > 0.5 && top-middle-square-x > 0.5 && top-right-square-x > 0.5 => negative', 'Rule Length': 4}",
3,"{'Rule': 'middle-middle-square-o > 0.5 && top-left-square-x > 0.5 && top-middle-square-x > 0.5 && top-right-square-x > 0.5 => negative', 'Rule Length': 4}",
4,"{'Rule': 'middle-middle-square-o > 0.5 && top-left-square-x > 0.5 && top-middle-square-x > 0.5 && top-right-square-x > 0.5 => negative', 'Rule Length': 4}",
5,"{'Rule': 'middle-middle-square-o > 0.5 && top-left-square-x > 0.5 && top-middle-square-x > 0.5 && top-right-square-x > 0.5 => negative', 'Rule Length': 4}",
6,"{'Rule': 'middle-middle-square-o > 0.5 && top-left-square-x > 0.5 && top-middle-square-x > 0.5 && top-right-square-x > 0.5 => negative', 'Rule Length': 4}",
7,"{'Rule': 'middle-middle-square-o > 0.5 && top-left-square-x > 0.5 && top-middle-square-x > 0.5 && top-right-square-x > 0.5 => negative', 'Rule Length': 4}",
8,"{'Rule': 'middle-middle-square-o > 0.5 && top-left-square-x > 0.5 && top-middle-square-x > 0.5 && top-right-square-x > 0.5 => negative', 'Rule Length': 4}",
9,"{'Rule': 'middle-middle-square-o > 0.5 && top-left-square-x > 0.5 && top-middle-square-x > 0.5 && top-right-square-x > 0.5 => negative', 'Rule Length': 4}",
10,"{'Rule': 'middle-left-square-x > 0.5 && middle-middle-square-b > 0.5 && middle-middle-square-o <= 0.5 && middle-right-square-o > 0.5 && top-right-square-o <= 0.5 => negative', 'Rule Length': 5}",
11,"{'Rule': 'middle-left-square-x > 0.5 && middle-middle-square-b > 0.5 && middle-middle-square-o <= 0.5 && middle-right-square-o > 0.5 && top-right-square-o <= 0.5 => negative', 'Rule Length': 5}",
12,"{'Rule': 'middle-left-square-x > 0.5 && middle-middle-square-b > 0.5 && middle-middle-square-o <= 0.5 && middle-right-square-o > 0.5 && top-right-square-o <= 0.5 => negative', 'Rule Length': 5}",
