Row Number,Average Rule Length
1,"5,7"
2,"6,2"
3,"6,2"
4,"5,9"
5,"6,2"
6,"6,0"
7,"6,0"
8,"6,1"
9,"6,1"
10,"6,0"
11,"6,1"
12,"6,1"
13,"5,6"
14,"5,8"
15,"5,8"
16,"5,5"
17,"5,7"
18,"5,7"
19,"5,7"
20,"5,8"
21,"5,8"
22,"5,8"
23,"5,7"
24,"5,8"
25,"5,8"
26,"6,0"
27,"5,9"
28,"5,7"
29,"5,6"
30,"5,6"
31,"5,8"
32,"5,7"
33,"6,0"
34,"6,0"
35,"5,7"
36,"5,7"
37,"5,8"
38,"5,3"
39,"5,4"
40,"5,4"
41,"5,6"
42,"5,5"
43,"5,6"
44,"5,5"
45,"5,7"
46,"5,7"
47,"5,7"
48,"5,4"
49,"5,5"
50,"5,5"
51,"6,1"
52,"6,0"
53,"6,2"
54,"6,0"
55,"6,1"
56,"6,1"
57,"6,0"
58,"6,0"
59,"5,9"
60,"6,2"
61,"6,0"
62,"6,3"
63,"6,0"
64,"6,0"
65,"6,0"
66,"6,2"
67,"5,9"
68,"6,1"
69,"6,0"
70,"5,9"
71,"6,0"
72,"6,0"
73,"5,7"
74,"5,9"
75,"5,8"
76,"6,0"
77,"6,0"
78,"6,1"
79,"6,5"
80,"6,2"
81,"6,0"
82,"5,4"
83,"5,8"
84,"5,4"
85,"6,0"
86,"6,2"
87,"6,1"
88,"6,2"
89,"6,1"
90,"6,0"
91,"6,0"
92,"5,9"
93,"6,0"
94,"5,7"
95,"6,2"
96,"6,3"
97,"6,1"
98,"5,8"
99,"6,4"
100,"6,3"
101,"6,4"
102,"5,3"
103,"5,4"
104,"5,4"
105,"5,4"
106,"5,6"
107,"5,2"
108,"5,5"
109,"5,0"
110,"6,0"
111,"5,4"
112,"6,4"
113,"5,5"
114,"5,9"
115,"6,2"
116,"5,5"
117,"5,6"
118,"5,9"
119,"5,5"
120,"5,5"
121,"5,9"
122,"5,9"
123,"5,7"
124,"5,4"
125,"5,4"
126,"5,4"
127,"5,7"
128,"5,8"
129,"5,5"
130,"5,5"
131,"5,6"
132,"5,7"
133,"5,6"
134,"5,8"
135,"5,4"
136,"5,5"
137,"5,7"
138,"5,8"
139,"5,9"
140,"6,0"
141,"6,3"
142,"6,2"
143,"6,1"
144,"6,1"
145,"6,6"
146,"6,5"
147,"6,8"
148,"5,9"
149,"6,5"
150,"6,1"
151,"6,4"
152,"5,9"
153,"7,0"
154,"6,1"
155,"6,4"
156,"6,1"
157,"6,2"
158,"6,7"
159,"6,1"
160,"5,8"
161,"6,0"
162,"5,9"
163,"5,7"
164,"6,5"
165,"6,0"
166,"6,2"
167,"6,0"
168,"6,3"
169,"6,6"
170,"5,9"
171,"6,7"
172,"6,4"
173,"6,1"
174,"6,1"
175,"6,2"
176,"6,3"
177,"6,0"
178,"6,1"
179,"6,3"
180,"6,8"
181,"6,2"
182,"6,5"
183,"6,7"
184,"6,6"
185,"6,2"
186,"6,1"
187,"6,1"
188,"5,3"
189,"5,8"
190,"5,4"
191,"5,2"
192,"5,1"
193,"5,0"
194,"5,0"
195,"5,4"
196,"5,4"
197,"5,9"
198,"5,0"
199,"5,3"
200,"5,4"
201,"5,7"
202,"5,7"
203,"5,5"
204,"4,9"
205,"4,9"
206,"5,0"
207,"5,2"
208,"5,5"
209,"5,2"
210,"5,5"
211,"5,3"
212,"5,4"
213,"5,5"
214,"5,1"
215,"5,5"
216,"5,2"
217,"5,9"
218,"5,5"
219,"5,8"
220,"5,1"
221,"5,4"
222,"5,1"
223,"5,7"
224,"5,7"
225,"5,7"
226,"6,0"
227,"5,8"
228,"5,4"
229,"5,5"
230,"5,7"
231,"5,7"
232,"5,8"
233,"5,8"
234,"5,8"
235,"6,0"
236,"5,6"
237,"6,0"
238,"6,1"
239,"6,2"
240,"6,3"
241,"6,0"
242,"6,7"
243,"6,2"
244,"5,9"
245,"6,7"
246,"6,4"
247,"6,6"
248,"6,0"
249,"5,6"
250,"5,8"
251,"5,6"
252,"5,9"
253,"6,0"
254,"5,5"
255,"6,4"
256,"6,2"
257,"5,7"
258,"6,2"
259,"5,9"
260,"5,9"
261,"6,5"
262,"6,0"
263,"6,2"
264,"6,4"
265,"6,3"
266,"6,1"
267,"5,7"
268,"5,9"
269,"6,6"
270,"6,4"
271,"6,5"
272,"6,0"
273,"6,0"
274,"6,5"
275,"6,1"
276,"5,6"
277,"5,6"
278,"5,7"
279,"5,2"
280,"5,4"
281,"5,4"
282,"5,9"
283,"5,5"
284,"5,1"
285,"5,0"
286,"5,3"
287,"5,6"
288,"5,3"
289,"5,5"
290,"5,0"
291,"5,3"
292,"5,0"
293,"5,3"
294,"5,1"
295,"5,5"
296,"6,4"
297,"6,5"
298,"6,5"
299,"5,9"
300,"5,8"
301,"5,8"
302,"5,4"
303,"5,9"
304,"5,6"
305,"5,7"
306,"6,1"
307,"5,6"
308,"5,8"
309,"6,0"
310,"6,0"
311,"6,1"
312,"6,4"
313,"6,7"
314,"6,5"
315,"6,8"
316,"6,1"
317,"6,3"
318,"6,3"
319,"7,6"
320,"7,5"
321,"7,5"
322,"6,6"
323,"7,3"
324,"7,1"
325,"7,7"
326,"8,0"
327,"7,2"
328,"7,7"
329,"7,0"
330,"7,3"
331,"7,2"
332,"7,1"
333,"7,0"
334,"7,4"
335,"6,7"
336,"7,1"
337,"7,3"
338,"7,6"
339,"7,4"
340,"8,0"
341,"7,4"
342,"7,3"
343,"7,5"
344,"6,8"
345,"7,3"
346,"5,2"
347,"6,0"
348,"5,3"
349,"7,0"
350,"7,3"
351,"7,0"
352,"6,8"
353,"5,5"
354,"5,8"
355,"6,2"
356,"5,7"
357,"5,0"
358,"5,2"
359,"7,0"
360,"6,8"
361,"6,8"
362,"6,3"
363,"7,0"
364,"7,3"
365,"5,3"
366,"6,5"
367,"6,7"
368,"6,5"
369,"6,4"
370,"6,3"
371,"6,5"
372,"6,2"
373,"6,3"
374,"5,8"
375,"6,3"
376,"6,4"
377,"6,5"
378,"6,3"
379,"5,8"
380,"6,4"
381,"6,2"
382,"6,7"
383,"6,3"
384,"5,4"
385,"5,8"
386,"5,6"
387,"5,3"
388,"5,4"
389,"5,3"
390,"5,7"
391,"5,9"
392,"5,8"
393,"6,3"
394,"6,6"
395,"6,3"
396,"6,4"
397,"5,8"
398,"5,8"
399,"6,3"
400,"6,3"
401,"5,9"
402,"5,7"
403,"6,0"
404,"5,7"
405,"7,1"
406,"7,0"
407,"5,9"
408,"6,3"
409,"5,2"
410,"6,2"
411,"6,5"
412,"6,2"
413,"6,8"
414,"5,4"
415,"5,0"
416,"5,2"
417,"5,2"
418,"5,4"
419,"5,8"
420,"5,5"
421,"5,8"
422,"5,4"
423,"6,4"
424,"6,6"
425,"6,5"
426,"6,3"
427,"6,2"
428,"6,4"
429,"6,4"
430,"6,8"
431,"6,4"
432,"5,6"
433,"5,9"
434,"6,1"
435,"5,3"
436,"5,5"
437,"5,8"
438,"5,7"
439,"5,3"
440,"5,5"
441,"5,6"
442,"5,1"
443,"6,2"
444,"5,7"
445,"5,5"
446,"6,6"
447,"6,4"
448,"6,4"
449,"6,1"
450,"5,7"
451,"6,4"
452,"6,4"
453,"5,9"
454,"6,2"
455,"6,2"
456,"5,8"
457,"6,2"
458,"6,3"
459,"7,4"
460,"7,2"
461,"7,4"
462,"7,0"
463,"7,7"
464,"7,7"
465,"7,0"
466,"7,0"
467,"7,5"
468,"7,3"
469,"7,3"
470,"7,6"
471,"7,2"
472,"7,4"
473,"5,7"
474,"6,8"
475,"5,7"
476,"5,6"
477,"4,8"
478,"5,8"
479,"5,2"
480,"5,3"
481,"5,6"
482,"5,2"
483,"5,2"
484,"5,3"
485,"5,1"
486,"5,2"
487,"5,5"
488,"5,7"
489,"5,3"
490,"5,8"
491,"5,5"
492,"5,8"
493,"5,4"
494,"5,5"
495,"6,2"
496,"5,9"
497,"6,5"
498,"6,2"
499,"6,8"
500,"6,6"
501,"6,7"
502,"6,2"
503,"6,6"
504,"6,1"
505,"6,3"
506,"6,3"
507,"6,5"
508,"6,2"
509,"5,6"
510,"6,0"
511,"6,6"
512,"6,7"
513,"6,5"
514,"6,6"
515,"6,8"
516,"6,0"
517,"7,2"
518,"6,8"
519,"5,5"
520,"5,5"
521,"5,7"
522,"5,8"
523,"6,0"
524,"6,2"
525,"6,5"
526,"7,2"
527,"6,1"
528,"6,4"
529,"6,2"
530,"5,5"
531,"5,4"
532,"5,7"
533,"5,8"
534,"6,0"
535,"5,0"
536,"5,3"
537,"5,3"
538,"5,3"
539,"5,1"
540,"5,1"
541,"5,3"
542,"5,2"
543,"4,9"
544,"5,0"
545,"5,4"
546,"4,8"
547,"5,4"
548,"5,8"
549,"5,2"
550,"5,2"
551,"5,9"
552,"5,9"
553,"5,9"
554,"5,7"
555,"5,1"
556,"5,5"
557,"5,6"
558,"5,8"
559,"5,8"
560,"5,4"
561,"5,7"
562,"5,7"
563,"6,6"
564,"6,3"
565,"6,7"
566,"6,4"
567,"7,0"
568,"6,9"
569,"6,3"
570,"6,1"
571,"6,4"
572,"6,4"
573,"6,5"
574,"6,4"
575,"6,1"
576,"6,4"
577,"5,1"
578,"6,8"
579,"5,1"
580,"5,4"
581,"4,3"
582,"5,6"
583,"4,8"
584,"5,1"
585,"5,1"
586,"4,8"
587,"4,9"
588,"4,9"
589,"5,7"
590,"6,0"
591,"5,4"
592,"5,5"
593,"5,5"
594,"5,2"
595,"5,0"
596,"4,9"
597,"5,1"
598,"5,3"
599,"5,5"
600,"5,5"
601,"5,2"
602,"5,2"
603,"5,3"
604,"5,3"
605,"5,8"
606,"5,7"
607,"6,0"
608,"5,8"
609,"6,6"
610,"6,8"
611,"6,7"
612,"6,1"
613,"6,7"
614,"6,4"
615,"6,1"
616,"6,2"
617,"5,9"
618,"6,1"
619,"6,0"
620,"6,2"
621,"5,0"
622,"6,4"
623,"5,2"
624,"4,7"
625,"5,0"
626,"5,1"
627,"5,7"
628,"6,5"
629,"6,2"
630,"5,3"
631,"5,1"
632,"5,4"
633,"5,4"
634,"5,6"
635,"5,6"
636,"5,6"
637,"5,2"
638,"5,9"
639,"6,2"
640,"5,7"
641,"5,7"
642,"5,5"
643,"5,0"
644,"5,8"
645,"5,4"
646,"5,4"
647,"5,4"
648,"6,2"
649,"6,3"
650,"6,6"
651,"6,2"
652,"5,6"
653,"5,5"
654,"5,1"
655,"5,8"
656,"5,8"
657,"5,7"
658,"5,3"
659,"5,8"
660,"6,6"
661,"6,3"
662,"5,6"
663,"5,8"
664,"5,8"
665,"5,6"
666,"6,2"
667,"5,9"
668,"5,6"
669,"5,6"
670,"5,5"
671,"6,0"
672,"6,0"
673,"6,3"
674,"6,1"
675,"6,3"
676,"6,3"
677,"6,4"
678,"6,2"
679,"6,2"
680,"5,7"
681,"5,3"
682,"5,7"
683,"5,7"
684,"6,0"
685,"6,5"
686,"6,2"
687,"6,4"
688,"6,1"
689,"6,1"
690,"6,6"
691,"6,7"
692,"5,4"
693,"5,2"
694,"5,6"
695,"5,8"
696,"6,9"
697,"5,8"
698,"5,5"
699,"6,0"
700,"5,3"
701,"5,4"
702,"5,9"
703,"5,8"
704,"5,4"
705,"6,1"
706,"6,5"
707,"6,4"
708,"6,2"
709,"6,1"
710,"5,5"
711,"5,7"
712,"5,7"
713,"5,7"
714,"6,0"
715,"6,1"
716,"6,6"
717,"6,4"
718,"6,5"
719,"5,9"
720,"5,4"
721,"5,5"
722,"5,2"
723,"5,8"
724,"5,4"
725,"5,2"
726,"6,4"
727,"6,5"
728,"5,5"
729,"6,1"
730,"6,8"
731,"5,4"
732,"5,1"
733,"5,8"
734,"6,6"
735,"5,9"
736,"5,8"
737,"5,6"
738,"6,1"
739,"5,4"
740,"6,1"
741,"6,4"
742,"6,3"
743,"6,7"
744,"5,8"
745,"6,4"
746,"6,0"
747,"6,1"
748,"6,2"
749,"6,3"
750,"5,8"
751,"5,9"
752,"5,8"
753,"6,0"
754,"5,5"
755,"5,5"
756,"5,6"
757,"6,0"
758,"4,9"
759,"5,4"
760,"5,8"
761,"5,3"
762,"5,9"
763,"6,0"
764,"5,4"
765,"5,7"
766,"5,5"
767,"5,8"
768,"6,4"
769,"6,0"
770,"6,3"
771,"6,5"
772,"5,7"
773,"5,9"
774,"6,5"
775,"6,5"
776,"5,5"
777,"6,2"
778,"5,5"
779,"6,3"
780,"6,2"
781,"6,0"
782,"6,9"
783,"6,1"
784,"6,3"
785,"6,3"
786,"6,2"
787,"5,9"
788,"6,0"
789,"4,9"
790,"5,8"
791,"5,1"
792,"5,7"
793,"6,3"
794,"5,1"
795,"6,0"
796,"5,2"
797,"6,1"
798,"6,0"
799,"5,9"
800,"6,1"
801,"5,2"
802,"5,5"
803,"5,8"
804,"5,7"
805,"5,7"
806,"6,5"
807,"5,8"
808,"6,2"
809,"5,7"
810,"5,9"
811,"5,8"
812,"7,3"
813,"6,7"
814,"7,3"
815,"7,3"
816,"7,1"
817,"6,4"
818,"7,0"
819,"7,3"
820,"6,7"
821,"6,2"
822,"5,7"
823,"6,3"
824,"7,0"
825,"6,8"
826,"6,1"
827,"6,6"
828,"7,2"
829,"6,4"
830,"6,9"
831,"6,3"
832,"7,1"
833,"6,8"
834,"6,2"
835,"7,0"
836,"7,2"
837,"7,1"
838,"6,4"
839,"6,8"
840,"7,5"
841,"6,8"
842,"7,1"
843,"6,7"
844,"7,3"
845,"6,9"
846,"6,4"
847,"7,0"
848,"5,6"
849,"7,0"
850,"6,2"
851,"6,0"
852,"6,2"
853,"6,3"
854,"5,9"
855,"5,7"
856,"6,4"
857,"6,0"
858,"5,4"
859,"5,7"
860,"5,5"
861,"5,8"
862,"5,4"
863,"5,6"
864,"5,8"
865,"5,8"
866,"6,4"
867,"5,7"
868,"7,2"
869,"6,2"
870,"6,2"
871,"6,6"
872,"5,1"
873,"5,7"
874,"5,6"
875,"6,1"
876,"6,0"
877,"6,2"
878,"6,1"
879,"5,8"
880,"6,4"
881,"6,2"
882,"6,0"
883,"5,9"
884,"4,9"
885,"5,3"
886,"4,9"
887,"5,5"
888,"5,6"
889,"5,7"
890,"6,4"
891,"6,3"
892,"6,3"
893,"6,1"
894,"5,7"
895,"5,5"
896,"5,1"
897,"5,7"
898,"5,7"
899,"5,6"
900,"5,2"
901,"5,7"
902,"6,7"
903,"5,6"
904,"6,0"
905,"5,4"
906,"5,0"
907,"5,8"
908,"6,6"
909,"5,7"
910,"5,9"
911,"4,8"
912,"5,2"
913,"5,2"
914,"6,2"
915,"5,6"
916,"6,2"
917,"5,9"
918,"5,3"
919,"6,4"
920,"5,5"
921,"5,8"
922,"6,8"
923,"5,7"
924,"5,5"
925,"5,7"
926,"6,0"
927,"6,3"
928,"6,1"
929,"6,0"
930,"6,0"
931,"4,6"
932,"5,1"
933,"5,4"
934,"6,3"
935,"6,0"
936,"7,0"
937,"5,5"
938,"5,2"
939,"5,7"
940,"6,5"
941,"7,0"
942,"5,5"
943,"6,2"
944,"5,4"
945,"5,4"
946,"6,4"
947,"6,0"
948,"6,1"
949,"5,9"
950,"5,4"
951,"6,4"
952,"6,3"
953,"6,2"
954,"6,1"
955,"7,2"
956,"6,3"
957,"6,8"
958,"6,2"
