block_of_affere,by_pass,changes_in_lym,changes_in_node,changes_in_stru,dislocation_of,early_uptake_in,exclusion_of_no,extravasates,lym_nodes_dimin,lym_nodes_enlar,no_of_nodes_in,special_forms,class
block_of_affere <= 1.5,,,,changes_in_stru <= 2.0,,early_uptake_in <= 1.5,,extravasates <= 1.5,,,,,3
block_of_affere <= 1.5,,,,changes_in_stru > 2.0,,early_uptake_in <= 1.5,,extravasates <= 1.5,,lym_nodes_enlar <= 1.5,,,2
block_of_affere <= 1.5,,,,changes_in_stru <= 3.5,,early_uptake_in <= 1.5,,extravasates <= 1.5,,lym_nodes_enlar > 1.5,,,4
block_of_affere <= 1.5,,,changes_in_node <= 2.5,changes_in_stru > 3.5,,early_uptake_in <= 1.5,exclusion_of_no <= 1.5,extravasates <= 1.5,,lym_nodes_enlar > 1.5,,,2
block_of_affere <= 1.5,,,changes_in_node <= 2.5,changes_in_stru > 3.5,,early_uptake_in <= 1.5,exclusion_of_no > 1.5,extravasates <= 1.5,,lym_nodes_enlar > 1.5,,,4
block_of_affere <= 1.5,,,changes_in_node > 2.5,changes_in_stru > 3.5,,early_uptake_in <= 1.5,,extravasates <= 1.5,,lym_nodes_enlar > 1.5,,,2
block_of_affere <= 1.5,by_pass <= 1.5,,,,,early_uptake_in <= 1.5,,extravasates > 1.5,,,,,4
block_of_affere <= 1.5,by_pass > 1.5,,,,,early_uptake_in <= 1.5,,extravasates > 1.5,,,,,1
block_of_affere <= 1.5,,,,,,early_uptake_in > 1.5,,,,,no_of_nodes_in <= 1.5,special_forms <= 1.5,2
block_of_affere <= 1.5,,,changes_in_node <= 1.5,,,early_uptake_in > 1.5,exclusion_of_no <= 1.5,,,,no_of_nodes_in > 1.5,special_forms <= 1.5,3
block_of_affere <= 1.5,,,changes_in_node > 1.5,,,early_uptake_in > 1.5,exclusion_of_no <= 1.5,,,,no_of_nodes_in > 1.5,special_forms <= 1.5,2
block_of_affere <= 1.5,,,,,,early_uptake_in > 1.5,exclusion_of_no > 1.5,,,,no_of_nodes_in > 1.5,special_forms <= 1.5,4
block_of_affere <= 1.5,,changes_in_lym <= 2.5,,,,early_uptake_in > 1.5,,,,,,special_forms > 1.5,4
block_of_affere <= 1.5,,changes_in_lym > 2.5,,,dislocation_of <= 1.5,early_uptake_in > 1.5,,extravasates <= 1.5,,,,special_forms > 1.5,2
block_of_affere <= 1.5,,changes_in_lym > 2.5,,,dislocation_of > 1.5,early_uptake_in > 1.5,,extravasates <= 1.5,,,,special_forms <= 2.5,2
block_of_affere <= 1.5,,changes_in_lym > 2.5,,,dislocation_of > 1.5,early_uptake_in > 1.5,,extravasates <= 1.5,,,,special_forms > 2.5,4
block_of_affere <= 1.5,,changes_in_lym > 2.5,,,,early_uptake_in > 1.5,,extravasates > 1.5,,,,special_forms > 1.5,4
block_of_affere > 1.5,,,changes_in_node <= 1.5,,,,,,,,no_of_nodes_in <= 3.5,,4
block_of_affere > 1.5,,,changes_in_node <= 2.5,,,,,,,lym_nodes_enlar <= 2.5,no_of_nodes_in <= 3.5,,2
block_of_affere > 1.5,,,changes_in_node <= 2.5,,,,,,,lym_nodes_enlar > 2.5,no_of_nodes_in <= 3.5,,4
block_of_affere > 1.5,,,changes_in_node > 2.5,,,,,,,lym_nodes_enlar <= 3.5,no_of_nodes_in <= 3.5,,2
block_of_affere > 1.5,,,changes_in_node > 2.5,,,,,,,lym_nodes_enlar > 3.5,no_of_nodes_in <= 3.5,special_forms <= 2.5,2
block_of_affere > 1.5,,,changes_in_node > 2.5,,,,,,,lym_nodes_enlar > 3.5,no_of_nodes_in <= 3.5,special_forms > 2.5,4
block_of_affere > 1.5,,changes_in_lym <= 2.5,changes_in_node <= 3.5,,,,,,lym_nodes_dimin <= 1.5,,no_of_nodes_in > 3.5,,4
block_of_affere > 1.5,by_pass <= 1.5,changes_in_lym > 2.5,changes_in_node <= 3.5,,dislocation_of <= 1.5,,,,lym_nodes_dimin <= 1.5,,no_of_nodes_in > 3.5,,2
block_of_affere > 1.5,by_pass <= 1.5,changes_in_lym > 2.5,changes_in_node <= 3.5,,dislocation_of > 1.5,,,,lym_nodes_dimin <= 1.5,,no_of_nodes_in > 3.5,,4
block_of_affere > 1.5,by_pass > 1.5,changes_in_lym > 2.5,changes_in_node <= 3.5,,,,,,lym_nodes_dimin <= 1.5,,no_of_nodes_in > 3.5,,2
block_of_affere > 1.5,,,changes_in_node <= 3.5,,,,,,lym_nodes_dimin > 1.5,,no_of_nodes_in > 3.5,,1
block_of_affere > 1.5,,,changes_in_node > 3.5,,,,,,,,no_of_nodes_in <= 1.5,,2
block_of_affere > 1.5,,,changes_in_node > 3.5,,,,,,,,no_of_nodes_in > 1.5,,4
