Row Number,Matched Rules,0,1
2,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
5,"({'Rule': 'block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 6},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 6}",
6,"({'Rule': 'block_of_affere <= 1.5 && changes_in_lym > 2.5 && dislocation_of <= 1.5 && early_uptake_in > 1.5 && extravasates <= 1.5 && special_forms > 1.5 => 2', 'Rule Length': 6},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_lym > 2.5 && dislocation_of <= 1.5 && early_uptake_in > 1.5 && extravasates <= 1.5 && special_forms > 1.5 => 2', 'Rule Length': 6}",
7,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
8,"({'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
11,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
12,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
13,"({'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
16,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
17,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
18,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
19,"({'Rule': 'block_of_affere <= 1.5 && early_uptake_in > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere <= 1.5 && early_uptake_in > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5 => 2', 'Rule Length': 4}",
20,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
23,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar > 3.5 && no_of_nodes_in <= 3.5 && special_forms <= 2.5 => 2', 'Rule Length': 5},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar > 3.5 && no_of_nodes_in <= 3.5 && special_forms <= 2.5 => 2', 'Rule Length': 5}",
24,"({'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
29,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
33,"({'Rule': 'block_of_affere <= 1.5 && changes_in_node <= 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && exclusion_of_no <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 7},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_node <= 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && exclusion_of_no <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 7}",
34,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
35,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
36,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
43,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
44,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
47,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
48,"({'Rule': 'block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5 => 2', 'Rule Length': 5},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5 => 2', 'Rule Length': 5}",
49,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
50,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
51,"({'Rule': 'block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5 => 2', 'Rule Length': 5},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5 => 2', 'Rule Length': 5}",
53,"({'Rule': 'block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 6},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 6}",
54,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
55,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
58,"({'Rule': 'block_of_affere > 1.5 && by_pass > 1.5 && changes_in_lym > 2.5 && changes_in_node <= 3.5 && lym_nodes_dimin <= 1.5 && no_of_nodes_in > 3.5 => 2', 'Rule Length': 6},)","{'Rule': 'block_of_affere > 1.5 && by_pass > 1.5 && changes_in_lym > 2.5 && changes_in_node <= 3.5 && lym_nodes_dimin <= 1.5 && no_of_nodes_in > 3.5 => 2', 'Rule Length': 6}",
60,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
62,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",
