Row Number,Matched Rules,Unique Rule Count
2,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
5,['block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5  => 2'],1
6,['block_of_affere <= 1.5 && changes_in_lym > 2.5 && dislocation_of <= 1.5 && early_uptake_in > 1.5 && extravasates <= 1.5 && special_forms > 1.5  => 2'],1
7,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
8,['block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5  => 2'],1
11,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
12,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
13,['block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5  => 2'],1
16,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
17,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
18,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
19,['block_of_affere <= 1.5 && early_uptake_in > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2'],1
20,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
23,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar > 3.5 && no_of_nodes_in <= 3.5 && special_forms <= 2.5  => 2'],1
24,['block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5  => 2'],1
29,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
33,['block_of_affere <= 1.5 && changes_in_node <= 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && exclusion_of_no <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5  => 2'],1
34,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
35,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
36,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
43,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
44,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
47,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
48,['block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5  => 2'],1
49,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
50,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
51,['block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5  => 2'],1
53,['block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5  => 2'],1
54,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
55,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
58,['block_of_affere > 1.5 && by_pass > 1.5 && changes_in_lym > 2.5 && changes_in_node <= 3.5 && lym_nodes_dimin <= 1.5 && no_of_nodes_in > 3.5  => 2'],1
60,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
62,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
64,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
65,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
68,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
71,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
73,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
76,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
77,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
78,['block_of_affere <= 1.5 && changes_in_lym > 2.5 && dislocation_of <= 1.5 && early_uptake_in > 1.5 && extravasates <= 1.5 && special_forms > 1.5  => 2'],1
82,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar > 3.5 && no_of_nodes_in <= 3.5 && special_forms <= 2.5  => 2'],1
86,['block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5  => 2'],1
87,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
88,['block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5  => 2'],1
90,['block_of_affere <= 1.5 && early_uptake_in > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2'],1
