Row Number,Rule,Rule Length
3,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
5,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
6,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
7,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
9,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
20,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
26,(changes_in_node <= 2.5) && (special_forms <= 2.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,5
33,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
35,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
36,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
37,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
43,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 4,2
48,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
52,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
53,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
56,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
57,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
58,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
59,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
66,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
71,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
72,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
73,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
87,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
89,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
92,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
94,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
95,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
96,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
100,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
109,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
110,(changes_in_node > 2.5) && (special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 3.5) && (no_of_nodes_in > 2.5)  => 2,5
111,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
112,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
113,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
114,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
116,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
117,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
118,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
125,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
126,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
127,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
128,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
133,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
135,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
136,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
141,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 4,2
144,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
145,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
146,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
147,(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2,2
