Row Number,Matched Rules,0,1,2,3
2,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
5,"({'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4},)","{'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}",,,
6,"({'Rule': '(changes_in_stru > 3.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(changes_in_stru > 5.5) && (changes_in_node > 1.5) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5})","{'Rule': '(changes_in_stru > 3.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(changes_in_stru > 5.5) && (changes_in_node > 1.5) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,
7,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
8,"({'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
11,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
12,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
13,"({'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
15,"({'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in > 1.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 3}, {'Rule': '(changes_in_stru > 4.5) && (changes_in_node <= 3.5) && (no_of_nodes_in > 3.5) && (special_forms <= 2.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 5})","{'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in > 1.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 3}","{'Rule': '(changes_in_stru > 4.5) && (changes_in_node <= 3.5) && (no_of_nodes_in > 3.5) && (special_forms <= 2.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 5}",,
16,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
17,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
18,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
19,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
20,"({'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4},)","{'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}",,,
21,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
24,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
25,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
26,"({'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
31,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
35,"({'Rule': '(changes_in_stru > 1.5) && (exclusion_of_no <= 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4})","{'Rule': '(changes_in_stru > 1.5) && (exclusion_of_no <= 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}",,
36,"({'Rule': '(changes_in_stru > 1.5) && (exclusion_of_no <= 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4})","{'Rule': '(changes_in_stru > 1.5) && (exclusion_of_no <= 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}",,
37,"({'Rule': '(changes_in_stru > 1.5) && (exclusion_of_no <= 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4})","{'Rule': '(changes_in_stru > 1.5) && (exclusion_of_no <= 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}",,
38,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
39,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
40,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
41,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
42,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
43,"({'Rule': '(changes_in_node > 1.5) && (no_of_nodes_in <= 4.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 4', 'Rule Length': 4}, {'Rule': '(changes_in_stru <= 5.5) && (changes_in_node <= 3.0) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 4', 'Rule Length': 5}, {'Rule': '(changes_in_stru <= 5.5) && (changes_in_node > 1.5) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 4', 'Rule Length': 5}, {'Rule': '(changes_in_node > 1.5) && (no_of_nodes_in > 2.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 4', 'Rule Length': 4})","{'Rule': '(changes_in_node > 1.5) && (no_of_nodes_in <= 4.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 4', 'Rule Length': 4}","{'Rule': '(changes_in_stru <= 5.5) && (changes_in_node <= 3.0) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 4', 'Rule Length': 5}","{'Rule': '(changes_in_stru <= 5.5) && (changes_in_node > 1.5) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 4', 'Rule Length': 5}","{'Rule': '(changes_in_node > 1.5) && (no_of_nodes_in > 2.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 4', 'Rule Length': 4}"
49,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
50,"({'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in > 1.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 3}, {'Rule': '(changes_in_stru <= 4.5) && (changes_in_node <= 2.5) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 5})","{'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in > 1.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 3}","{'Rule': '(changes_in_stru <= 4.5) && (changes_in_node <= 2.5) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 5}",,
52,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
53,"({'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4},)","{'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}",,,
54,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
55,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
56,"({'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4},)","{'Rule': '(changes_in_stru > 1.5) && (no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}",,,
59,"({'Rule': '(changes_in_stru > 3.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(changes_in_stru > 3.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5) && (special_forms > 1.5) && (defect_in_node > 3.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 6})","{'Rule': '(changes_in_stru > 3.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(changes_in_stru > 3.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5) && (special_forms > 1.5) && (defect_in_node > 3.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 6}",,
60,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
61,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
62,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
65,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}, {'Rule': '(changes_in_stru <= 4.5) && (changes_in_node <= 3.5) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 5})","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}","{'Rule': '(changes_in_stru <= 4.5) && (changes_in_node <= 3.5) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 5}",
68,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
70,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
71,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
72,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
73,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,
76,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
