Row Number,Matched Rules,0,1,2,3,4,5
2,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
5,"({'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (changes_in_lym > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5})","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (changes_in_lym > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",
6,"({'Rule': '(no_of_nodes_in > 3.5) && (changes_in_lym > 1.5) && (special_forms > 1.5) && (defect_in_node <= 3.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5},)","{'Rule': '(no_of_nodes_in > 3.5) && (changes_in_lym > 1.5) && (special_forms > 1.5) && (defect_in_node <= 3.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,,,,
7,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
8,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
11,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,
12,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
13,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
15,"({'Rule': '(no_of_nodes_in > 1.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in <= 6.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 4})","{'Rule': '(no_of_nodes_in > 1.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in <= 6.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 4}",,,,
16,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
