Row Number,Matched Rules
2,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
5,"['(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5)  => 2', '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (changes_in_lym > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5)  => 2', '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5)  => 2', '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5)  => 2', '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5)  => 2']"
6,['(no_of_nodes_in > 3.5) && (changes_in_lym > 1.5) && (special_forms > 1.5) && (defect_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2']
7,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
8,['(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5)  => 2']
11,"['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2', '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']"
12,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
13,['(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5)  => 2']
15,"['(no_of_nodes_in > 1.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5)  => 4', '(no_of_nodes_in <= 6.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (block_of_affere > 1.5)  => 4']"
16,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
17,"['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2', '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']"
18,"['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2', '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']"
19,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
20,"['(no_of_nodes_in <= 1.5) && (changes_in_stru <= 4.0) && (special_forms <= 1.5) && (block_of_affere <= 1.5)  => 2', '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5)  => 2', '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5)  => 2', '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5)  => 2']"
21,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
22,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
25,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
26,['(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5)  => 2']
